	Node1	Node2
870	PF00005	PF00664
871	PF00005	COG1132
872	PF00664	PF00005
873	PF00664	COG1132
874	COG1132	PF00005
875	COG1132	PF00664
876	PF16185	PF00005
877	PF16185	COG5265
878	PF16185	PF00664
879	PF00005	PF16185
880	PF00005	COG5265
881	PF00005	PF00664
882	COG5265	PF16185
883	COG5265	PF00005
884	COG5265	PF00664
885	PF00664	PF16185
886	PF00664	PF00005
887	PF00664	COG5265
888	PF16185	PF00005
889	PF16185	COG5265
890	PF16185	PF00664
891	PF00005	PF16185
892	PF00005	COG5265
893	PF00005	PF00664
894	COG5265	PF16185
895	COG5265	PF00005
896	COG5265	PF00664
897	PF00664	PF16185
898	PF00664	PF00005
899	PF00664	COG5265
900	PF00005	COG5265
901	PF00005	PF00664
902	COG5265	PF00005
903	COG5265	PF00664
904	PF00664	PF00005
905	PF00664	COG5265
906	PF00005	PF00664
907	PF00005	COG1132
908	PF00664	PF00005
909	PF00664	COG1132
910	COG1132	PF00005
911	COG1132	PF00664
912	PF00005	PF00664
913	PF00005	COG1132
914	PF00664	PF00005
915	PF00664	COG1132
916	COG1132	PF00005
917	COG1132	PF00664
918	PF00005	PF00664
919	PF00005	COG1132
920	PF00664	PF00005
921	PF00664	COG1132
922	COG1132	PF00005
923	COG1132	PF00664
924	PF00005	PF00664
925	PF00005	COG1132
926	PF00664	PF00005
927	PF00664	COG1132
928	COG1132	PF00005
929	COG1132	PF00664
930	PF00005	PF00664
931	PF00005	COG1132
932	PF00664	PF00005
933	PF00664	COG1132
934	COG1132	PF00005
935	COG1132	PF00664
936	PF00005	PF00664
937	PF00005	COG1132
938	PF00664	PF00005
939	PF00664	COG1132
940	COG1132	PF00005
941	COG1132	PF00664
942	PF00005	PF00664
943	PF00005	COG1132
944	PF00664	PF00005
945	PF00664	COG1132
946	COG1132	PF00005
947	COG1132	PF00664
948	PF00005	PF00664
949	PF00005	COG1132
950	PF00664	PF00005
951	PF00664	COG1132
952	COG1132	PF00005
953	COG1132	PF00664
954	PF00005	PF00664
955	PF00005	COG1132
956	PF00664	PF00005
957	PF00664	COG1132
958	COG1132	PF00005
959	COG1132	PF00664
960	COG4178	PF00005
961	COG4178	PF06472
962	PF00005	COG4178
963	PF00005	PF06472
964	PF06472	COG4178
965	PF06472	PF00005
966	COG4178	PF00005
967	COG4178	PF00664
968	COG4178	PF06472
969	PF00005	COG4178
